일자,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,종가
2023-01-02,55500,56100,55200,10031448,5.58E+11,3.31E+14,5969782550,55500
2023-01-03,55400,56000,54500,13547030,7.48E+11,3.31E+14,5969782550,55400
2023-01-04,55700,58000,55600,20188071,1.15E+12,3.45E+14,5969782550,57800
2023-01-05,58200,58800,57600,15682826,9.12E+11,3.47E+14,5969782550,58200
2023-01-06,58300,59400,57900,17334989,1.02E+12,3.52E+14,5969782550,59000
2023-01-09,59700,60700,59600,18640107,1.12E+12,3.62E+14,5969782550,60700
2023-01-10,60200,61100,59900,14859797,8.99E+11,3.61E+14,5969782550,60400
2023-01-11,61000,61200,60300,12310751,7.47E+11,3.61E+14,5969782550,60500
2023-01-12,61100,61200,59900,16102561,9.72E+11,3.61E+14,5969782550,60500
2023-01-13,60500,61200,60400,12510328,7.61E+11,3.63E+14,5969782550,60800
2023-01-16,61300,61600,60800,10039972,6.15E+11,3.65E+14,5969782550,61100
2023-01-17,61200,61500,60600,9831456,6.00E+11,3.64E+14,5969782550,61000
2023-01-18,60700,61000,59900,11584041,6.99E+11,3.61E+14,5969782550,60400
2023-01-19,60500,61500,60400,12808490,7.82E+11,3.67E+14,5969782550,61500
2023-01-20,62100,62300,61100,9646327,5.95E+11,3.69E+14,5969782550,61800
2023-01-25,63500,63700,63000,16822710,1.07E+12,3.78E+14,5969782550,63400
2023-01-26,63800,63900,63300,13278277,8.46E+11,3.81E+14,5969782550,63900
2023-01-27,64400,65000,63900,18760182,1.21E+12,3.86E+14,5969782550,64600
2023-01-30,64900,64900,63100,20995234,1.34E+12,3.78E+14,5969782550,63300
2023-01-31,63500,63700,61000,29746731,1.84E+12,3.64E+14,5969782550,61000
2023-02-01,62600,62700,61000,18570133,1.15E+12,3.69E+14,5969782550,61800
2023-02-02,63200,63900,62600,23285983,1.47E+12,3.79E+14,5969782550,63500
2023-02-03,63900,64000,63000,15194598,9.67E+11,3.81E+14,5969782550,63800
2023-02-06,62800,63000,61600,15529356,9.68E+11,3.68E+14,5969782550,61600
2023-02-07,61900,62500,61600,14491039,8.99E+11,3.70E+14,5969782550,61900
2023-02-08,62800,63300,62400,12243125,7.70E+11,3.77E+14,5969782550,63100
2023-02-09,63000,63300,62300,12164865,7.65E+11,3.76E+14,5969782550,63000
2023-02-10,62600,63000,62400,9382576,5.88E+11,3.75E+14,5969782550,62800
2023-02-13,62900,63000,62300,10730362,6.72E+11,3.75E+14,5969782550,62900
2023-02-14,63600,63900,63200,9126664,5.80E+11,3.77E+14,5969782550,63200
2023-02-15,63900,63900,62000,13208103,8.26E+11,3.71E+14,5969782550,62200
2023-02-16,62500,63700,62400,13798831,8.74E+11,3.80E+14,5969782550,63700
2023-02-17,62900,63300,62400,10791265,6.78E+11,3.74E+14,5969782550,62600
2023-02-20,62900,63000,61800,12908073,8.06E+11,3.74E+14,5969782550,62700
2023-02-21,62700,62800,62000,7665046,4.77E+11,3.71E+14,5969782550,62100
2023-02-22,61500,61800,61000,11959088,7.32E+11,3.65E+14,5969782550,61100
2023-02-23,61700,62500,61500,13047099,8.09E+11,3.70E+14,5969782550,62000
2023-02-24,62300,62600,61300,10308143,6.39E+11,3.66E+14,5969782550,61300
2023-02-27,60800,60800,60200,11155697,6.74E+11,3.61E+14,5969782550,60500
2023-02-28,60800,61400,60500,13715861,8.35E+11,3.62E+14,5969782550,60600
2023-03-02,60900,61800,60500,13095682,7.99E+11,3.63E+14,5969782550,60800
2023-03-03,61000,61200,60500,10711405,6.50E+11,3.61E+14,5969782550,60500
2023-03-06,61100,61600,60800,13630602,8.35E+11,3.67E+14,5969782550,61500
2023-03-07,61400,61400,60700,11473280,6.99E+11,3.62E+14,5969782550,60700
2023-03-08,60100,60500,59900,14161857,8.52E+11,3.60E+14,5969782550,60300
2023-03-09,60500,60800,59900,14334499,8.63E+11,3.59E+14,5969782550,60100
2023-03-10,59500,59700,59100,11902471,7.06E+11,3.55E+14,5969782550,59500
2023-03-13,59900,60200,59300,12779724,7.65E+11,3.58E+14,5969782550,60000
2023-03-14,59400,59500,59000,12147346,7.19E+11,3.52E+14,5969782550,59000
2023-03-15,60000,60300,59600,10482149,6.28E+11,3.57E+14,5969782550,59800
2023-03-16,59200,60200,59100,10611939,6.33E+11,3.58E+14,5969782550,59900
2023-03-17,60800,61300,60600,14090110,8.60E+11,3.66E+14,5969782550,61300
2023-03-20,61100,61200,60200,9618009,5.82E+11,3.59E+14,5969782550,60200
2023-03-21,60500,60700,60100,8318514,5.02E+11,3.60E+14,5969782550,60300
2023-03-22,61000,61200,60500,8978591,5.47E+11,3.65E+14,5969782550,61100
2023-03-23,60600,62300,60600,15381057,9.46E+11,3.72E+14,5969782550,62300
2023-03-24,62700,63300,62300,18278602,1.15E+12,3.76E+14,5969782550,63000
2023-03-27,62600,62800,62000,11039331,6.87E+11,3.71E+14,5969782550,62100
2023-03-28,62400,62900,62100,11614118,7.26E+11,3.75E+14,5969782550,62900
2023-03-29,62500,62700,62200,11216008,7.00E+11,3.74E+14,5969782550,62700
2023-03-30,63700,63700,63100,15684377,9.94E+11,3.77E+14,5969782550,63200
2023-03-31,64000,64000,63700,14094479,9.01E+11,3.82E+14,5969782550,64000
2023-04-03,64000,64000,63000,11973133,7.57E+11,3.77E+14,5969782550,63100
2023-04-04,63400,63800,62800,11120514,7.06E+11,3.80E+14,5969782550,63600
2023-04-05,63700,64000,63400,9176149,5.85E+11,3.81E+14,5969782550,63900
2023-04-06,63500,63600,62300,14992747,9.41E+11,3.72E+14,5969782550,62300
2023-04-07,63800,65200,63800,27476120,1.78E+12,3.88E+14,5969782550,65000
2023-04-10,64800,66300,64700,18777166,1.23E+12,3.92E+14,5969782550,65700
2023-04-11,66200,66200,65400,16323183,1.07E+12,3.93E+14,5969782550,65900
2023-04-12,65800,66200,65300,15021313,9.87E+11,3.94E+14,5969782550,66000
2023-04-13,65600,66100,65400,15091022,9.94E+11,3.95E+14,5969782550,66100
2023-04-14,66600,66600,65000,16176490,1.06E+12,3.89E+14,5969782550,65100
2023-04-17,65000,65600,64700,13486618,8.78E+11,3.90E+14,5969782550,65300
2023-04-18,65900,66000,64800,14802060,9.67E+11,3.92E+14,5969782550,65600
2023-04-19,65500,65800,65300,10255985,6.72E+11,3.91E+14,5969782550,65500
2023-04-20,65100,65300,64600,9501169,6.18E+11,3.90E+14,5969782550,65300
2023-04-21,65800,65900,65400,10538622,6.92E+11,3.92E+14,5969782550,65700
2023-04-24,65300,65700,64800,12986581,8.47E+11,3.89E+14,5969782550,65200
2023-04-25,65300,65400,63400,16193271,1.04E+12,3.80E+14,5969782550,63600
2023-04-26,63600,64300,63300,12664541,8.09E+11,3.83E+14,5969782550,64100
2023-04-27,64100,65000,63300,14779601,9.48E+11,3.86E+14,5969782550,64600
2023-04-28,65200,65900,65000,19699481,1.29E+12,3.91E+14,5969782550,65500
2023-05-02,66000,66300,65100,14396948,9.47E+11,3.92E+14,5969782550,65700
2023-05-03,65100,65600,64900,8876749,5.79E+11,3.90E+14,5969782550,65400
2023-05-04,65600,65700,64700,9791064,6.37E+11,3.89E+14,5969782550,65100
2023-05-08,66300,66300,65400,9405365,6.20E+11,3.93E+14,5969782550,65900
2023-05-09,65800,65800,65100,9366861,6.12E+11,3.90E+14,5969782550,65300
2023-05-10,65500,65500,64300,13057727,8.45E+11,3.86E+14,5969782550,64600
2023-05-11,64700,65100,64200,11648905,7.52E+11,3.83E+14,5969782550,64200
2023-05-12,63700,64600,63600,8693913,5.58E+11,3.83E+14,5969782550,64100
2023-05-15,64100,64600,63900,8172021,5.25E+11,3.85E+14,5969782550,64500
2023-05-16,65800,65900,65300,12334657,8.08E+11,3.90E+14,5969782550,65400
2023-05-17,65900,65900,64800,10745504,7.01E+11,3.88E+14,5969782550,65000
